code_indicateur;libelle_indicateur;description_indicateur;type_donnees_indicateur;granularite_indicateur
D320;autres_docs_um_total_eliminati;Autres documents – UM – Total éliminations autres documents;numérique;annuel
D321;autres_docs_totalisation_abreg;Autres documents – Totalisation Abrégé -Fonds;numérique;annuel
D322;autres_docs_totalisation_abr_1;Autres documents – Totalisation Abrégé -Acquisitions;numérique;annuel
D331;est_ce_que_la_bib_possede_daut;Est-ce que la bibliothèque possède d’autres types de documents ?;oui/non;annuel
D332;jeux_de_societe_fonds;Jeux de société - Fonds;numérique;annuel
D333;jeux_de_societe_acqs;Jeux de société - Acquisitions;numérique;annuel
D334;objets_fonds;Objets - Fonds;numérique;annuel
D335;objets_acqs;Objets - Acquisitions;numérique;annuel
D336;instruments_fonds;Instruments - Fonds;numérique;annuel
D337;instruments_acqs;Instruments - Acquisitions;numérique;annuel
D338;objets_num_fonds;Objets numériques - Fonds;numérique;annuel
D339;objets_num_acqs;Objets numériques - Acquisitions;numérique;annuel
D401;docs_audiov_sup_docs_sonores_m;Documents audiovisuels sur support – Documents sonores : musique – Sur support (UM) – Total Fonds;numérique;annuel
D402;docs_audiov_sup_docs_sonores_1;Documents audiovisuels sur support – Documents sonores : musique – Sur support (UM) – Total Acquisitions;numérique;annuel
D405;docs_audiov_sup_docs_sonores_l;Documents audiovisuels sur support – Documents sonores : livres enregistrés – Sur support (UM) –Total Fonds;numérique;annuel
D406;docs_audiov_sup_docs_sonores_2;Documents audiovisuels sur support– Documents sonores : livres enregistrés – Sur support (UM) – Total Acquisitions;numérique;annuel
D409;nombre_de_cd;Documents audiovisuels sur support– Total documents sonores – Sur support (UM) – Total Fonds (hors desserte BDP);numérique;annuel
D410;docs_audiov_sup_total_docs_s_1;Documents audiovisuels sur support– Total documents sonores – Sur support (UM) – Total Acquisitions;numérique;annuel
D411;nombre_de_dvd;Documents audiovisuels sur support– Documents vidéo – Sur support (UM) – Total Fonds (hors desserte BDP);numérique;annuel
D412;docs_audiov_sup_docs_video_s_1;Documents audiovisuels sur support – Documents vidéo – Sur support (UM) – Total Acquisitions;numérique;annuel
D416;docs_audiov_sup_docs_sonores_3;Documents audiovisuels sur support – Documents sonores : musique: – Sur support (UM) – Total Éliminations;numérique;annuel
D417;docs_audiov_sup_docs_sonores_4;Documents audiovisuels sur support – Documents sonores : livres enregistrés –Sur support (UM) – Total Éliminations;numérique;annuel
D418;docs_audiov_sup_total_docs_s_2;Documents audiovisuels sur support – Total documents sonores – Sur support (UM) - Total éliminations;numérique;annuel
D419;docs_audiov_sup_docs_video_s_2;Documents audiovisuels sur support – Documents vidéo – Sur support (UM) – Total éliminations;numérique;annuel
D423;docs_audiov_sup_docs_sonores_5;Documents audiovisuels sur support – Documents sonores : livres enregistrés – Sur support (UM) – Fonds adultes;numérique;annuel
D424;docs_audiov_sup_docs_sonores_6;Documents audiovisuels sur support– Documents sonores : livres enregistrés – Sur support (UM) – Acquisitions adultes;numérique;annuel
D425;docs_audiov_sup_docs_sonores_7;Documents audiovisuels sur support– Documents sonores : livres enregistrés – Sur support (UM) – Eliminations adultes;numérique;annuel
D429;docs_audiov_sup_docs_video_s_3;Documents audiovisuels sur support– Documents vidéo – Sur support (UM) – Fonds adultes;numérique;annuel
D430;docs_audiov_sup_docs_video_s_4;Documents audiovisuels sur support – Documents vidéo – Sur support (UM) – Acquisitions adultes;numérique;annuel
D431;docs_audiov_sup_docs_video_s_5;Documents audiovisuels sur support – Documents vidéo – Sur support (UM) – Eliminations adultes;numérique;annuel
D435;docs_audiov_sup_docs_sonores_8;Documents audiovisuels sur support – Documents sonores : livres enregistrés – Sur support (UM) – Fonds enfants;numérique;annuel
D436;docs_audiov_sup_docs_sonores_9;Documents audiovisuels sur support– Documents sonores : livres enregistrés – Sur support (UM) – Acquisitions enfants;numérique;annuel
D437;docs_audiov_sup_docs_sonore_10;Documents audiovisuels sur support– Documents sonores : livres enregistrés – Sur support (UM) – Eliminations enfants;numérique;annuel
D441;docs_audiov_sup_docs_video_s_6;Documents audiovisuels sur support– Documents vidéo – Sur support (UM) – Fonds enfants;numérique;annuel
D442;docs_audiov_sup_docs_video_s_7;Documents audiovisuels sur support – Documents vidéo – Sur support (UM) – Acquisitions enfants;numérique;annuel
D443;docs_audiov_sup_docs_video_s_8;Documents audiovisuels sur support – Documents vidéo – Sur support (UM) – Eliminations enfants;numérique;annuel
